V400_V,Rload_400,Ptarget_W,Pi1_W,Po1_W,Eff1,Pi2_W,Po2_W,Eff2,Pi3_W,Po3_W,Eff3,V300_V,Rload_400,Ptarget300_W,Pi4_W,Po4_W,Eff4,Pi5_W,Po5_W,Eff5,Pi6_W,Po6_W,Eff6
400,400.0,400,474.2,416.98,87.90,476.9,417.5,87.70,474.8,417.2,87.90,300,225.0,400,423.1,399.3,94.30,426,400,94.10,426,400,94.00
400,200.0,800,855.8,807.25,94.30,856.9,807.4,94.20,855.6,807.1,94.30,300,112.5,800,827.4,800.9,96.80,830,802,96.60,830,802,96.60
400,133.3,1200,1245.97,1194.2,95.80,1247,1194,95.70,1245,1194,95.90,300,75.0,1200,1217.5,1185,97.40,1220,1187,97.30,1220,1187,97.30
400,100.0,1600,1653.3,1596.8,96.57,1655,1597,96.50,1653,1597,96.60,300,56.3,1600,1616.3,1576.1,97.50,1618,1578,97.50,1619,1578,97.50
400,80.0,2000,2040.1,1977.6,96.92,2042,1978,96.80,2040,1978,97.00,300,45.0,2000,2001,1951,97.50,2002,1952,97.50,2003,1952,97.50
400,66.7,2400,2449,2374.4,97.12,2446,2374,97.10,2444,2374,97.20,300,37.5,2400,2383,2319,97.30,2381,2318,97.30,2383,2318,97.30
400,57.1,2800,2827.7,2827,97.16,2829,2749,97.20,2827,2749,97.20,300,32.1,2800,2774,2693,97.10,2770,2690,97.10,2771,2691,97.10
400,50.0,3200,3227,3137,97.17,3229,3137,97.20,3227,3139,97.30,300,28.1,3200,3161,3061,96.80,2156,3055,96.80,3156,3056,96.80
400,44.4,3600,3645,3541,97.12,3627,3523,97.10,3626,3525,97.20,300,25.0,3600,3535,3413,96.50,3528,3403,96.50,3529,3405,96.50
400,40.0,4000,4004,3886.6,97.00,4005,4887,97.00,4004,3889,97.10,300,22.5,4000,3906,3758,96.20,3896,3745,96.10,3898,9748,96.20
