"No.","FREQUENCY(Hz)","LS[H]","Z[ohm]"
"1","10.000E+00","19.82149E-06","21.203E-03"
"2","10.170E+00","19.62711E-06","21.206E-03"
"3","10.330E+00","19.74294E-06","21.213E-03"
"4","10.500E+00","19.71051E-06","21.207E-03"
"5","10.680E+00","19.61886E-06","21.219E-03"
"6","10.850E+00","19.70555E-06","21.220E-03"
"7","11.030E+00","19.55256E-06","21.222E-03"
"8","11.220E+00","19.57381E-06","21.228E-03"
"9","11.400E+00","19.67807E-06","21.239E-03"
"10","11.590E+00","19.52086E-06","21.238E-03"
"11","11.780E+00","19.52811E-06","21.247E-03"
"12","11.980E+00","19.47297E-06","21.249E-03"
"13","12.180E+00","19.52897E-06","21.252E-03"
"14","12.380E+00","19.47051E-06","21.249E-03"
"15","12.580E+00","19.47998E-06","21.256E-03"
"16","12.790E+00","19.43285E-06","21.267E-03"
"17","13.000E+00","19.40668E-06","21.263E-03"
"18","13.220E+00","19.44458E-06","21.270E-03"
"19","13.430E+00","19.45101E-06","21.275E-03"
"20","13.660E+00","19.29497E-06","21.283E-03"
"21","13.880E+00","19.29818E-06","21.299E-03"
"22","14.110E+00","19.39113E-06","21.290E-03"
"23","14.350E+00","19.19629E-06","21.301E-03"
"24","14.580E+00","19.28429E-06","21.320E-03"
"25","14.820E+00","19.35104E-06","21.317E-03"
"26","15.070E+00","19.23151E-06","21.324E-03"
"27","15.320E+00","19.24356E-06","21.331E-03"
"28","15.570E+00","19.23830E-06","21.335E-03"
"29","15.830E+00","19.29885E-06","21.346E-03"
"30","16.090E+00","19.27089E-06","21.357E-03"
"31","16.360E+00","19.12942E-06","21.360E-03"
"32","16.630E+00","19.15067E-06","21.374E-03"
"33","16.900E+00","19.05401E-06","21.373E-03"
"34","17.180E+00","19.09776E-06","21.392E-03"
"35","17.470E+00","19.10766E-06","21.398E-03"
"36","17.760E+00","19.11638E-06","21.404E-03"
"37","18.050E+00","19.06202E-06","21.420E-03"
"38","18.350E+00","19.05077E-06","21.424E-03"
"39","18.650E+00","19.09385E-06","21.438E-03"
"40","18.960E+00","19.01702E-06","21.452E-03"
"41","19.270E+00","19.00544E-06","21.464E-03"
"42","19.590E+00","18.96198E-06","21.469E-03"
"43","19.920E+00","18.84472E-06","21.485E-03"
"44","20.250E+00","18.94654E-06","21.496E-03"
"45","20.580E+00","18.98523E-06","21.510E-03"
"46","20.920E+00","18.95939E-06","21.530E-03"
"47","21.270E+00","18.90080E-06","21.537E-03"
"48","21.620E+00","18.87985E-06","21.557E-03"
"49","21.980E+00","18.84221E-06","21.570E-03"
"50","22.340E+00","18.91914E-06","21.588E-03"
"51","22.710E+00","18.82931E-06","21.600E-03"
"52","23.080E+00","18.84033E-06","21.610E-03"
"53","23.470E+00","18.84653E-06","21.624E-03"
"54","23.850E+00","18.79146E-06","21.641E-03"
"55","24.250E+00","18.77172E-06","21.664E-03"
"56","24.650E+00","18.76264E-06","21.687E-03"
"57","25.060E+00","18.75154E-06","21.716E-03"
"58","25.470E+00","18.73184E-06","21.730E-03"
"59","25.890E+00","18.64221E-06","21.749E-03"
"60","26.320E+00","18.65612E-06","21.773E-03"
"61","26.760E+00","18.64932E-06","21.789E-03"
"62","27.200E+00","18.65950E-06","21.811E-03"
"63","27.650E+00","18.63849E-06","21.828E-03"
"64","28.110E+00","18.58249E-06","21.852E-03"
"65","28.570E+00","18.58483E-06","21.885E-03"
"66","29.040E+00","18.57564E-06","21.901E-03"
"67","29.520E+00","18.50283E-06","21.922E-03"
"68","30.010E+00","18.50948E-06","21.956E-03"
"69","30.510E+00","18.49187E-06","21.980E-03"
"70","31.010E+00","18.43340E-06","22.008E-03"
"71","31.530E+00","18.46863E-06","22.041E-03"
"72","32.050E+00","18.41272E-06","22.064E-03"
"73","32.580E+00","18.35232E-06","22.099E-03"
"74","33.120E+00","18.41292E-06","22.124E-03"
"75","33.660E+00","18.37160E-06","22.157E-03"
"76","34.220E+00","18.33839E-06","22.189E-03"
"77","34.790E+00","18.26333E-06","22.228E-03"
"78","35.360E+00","18.28374E-06","22.264E-03"
"79","35.950E+00","18.20879E-06","22.300E-03"
"80","36.540E+00","18.18250E-06","22.339E-03"
"81","37.140E+00","18.21858E-06","22.371E-03"
"82","37.760E+00","18.13158E-06","22.408E-03"
"83","38.380E+00","18.11851E-06","22.452E-03"
"84","39.020E+00","18.09677E-06","22.489E-03"
"85","39.660E+00","18.02710E-06","22.529E-03"
"86","40.320E+00","18.04711E-06","22.580E-03"
"87","40.990E+00","17.93732E-06","22.627E-03"
"88","41.660E+00","17.95808E-06","22.665E-03"
"89","42.350E+00","17.89788E-06","22.713E-03"
"90","43.050E+00","17.87721E-06","22.763E-03"
"91","43.770E+00","17.82067E-06","22.813E-03"
"92","44.490E+00","17.83777E-06","22.864E-03"
"93","45.230E+00","17.76683E-06","22.914E-03"
"94","45.970E+00","17.71671E-06","22.971E-03"
"95","46.730E+00","17.66163E-06","23.033E-03"
"96","47.510E+00","17.64984E-06","23.085E-03"
"97","48.290E+00","17.57566E-06","23.143E-03"
"98","49.090E+00","17.53989E-06","23.202E-03"
"99","49.900E+00","17.51061E-06","23.266E-03"
"100","50.730E+00","17.46109E-06","23.325E-03"
"101","51.570E+00","17.39640E-06","23.391E-03"
"102","52.420E+00","17.37301E-06","23.450E-03"
"103","53.290E+00","17.30232E-06","23.519E-03"
"104","54.170E+00","17.25532E-06","23.602E-03"
"105","55.060E+00","17.17684E-06","23.667E-03"
"106","55.970E+00","17.15486E-06","23.737E-03"
"107","56.900E+00","17.08272E-06","23.815E-03"
"108","57.840E+00","17.05142E-06","23.890E-03"
"109","58.800E+00","16.97422E-06","23.967E-03"
"110","59.770E+00","16.93036E-06","24.042E-03"
"111","60.760E+00","16.86768E-06","24.132E-03"
"112","61.760E+00","16.79864E-06","24.213E-03"
"113","62.780E+00","16.74198E-06","24.294E-03"
"114","63.820E+00","16.65998E-06","24.383E-03"
"115","64.880E+00","16.59279E-06","24.475E-03"
"116","65.950E+00","16.53247E-06","24.558E-03"
"117","67.040E+00","16.46449E-06","24.654E-03"
"118","68.150E+00","16.38001E-06","24.749E-03"
"119","69.280E+00","16.32454E-06","24.849E-03"
"120","70.420E+00","16.22498E-06","24.940E-03"
"121","71.590E+00","16.16322E-06","25.047E-03"
"122","72.770E+00","16.08002E-06","25.140E-03"
"123","73.980E+00","15.99649E-06","25.245E-03"
"124","75.200E+00","15.92430E-06","25.354E-03"
"125","76.440E+00","15.84068E-06","25.459E-03"
"126","77.710E+00","15.75103E-06","25.577E-03"
"127","78.990E+00","15.66681E-06","25.676E-03"
"128","80.300E+00","15.58755E-06","25.797E-03"
"129","81.630E+00","15.48540E-06","25.911E-03"
"130","82.980E+00","15.39210E-06","26.021E-03"
"131","84.350E+00","15.28610E-06","26.139E-03"
"132","85.740E+00","15.20755E-06","26.265E-03"
"133","87.160E+00","15.08640E-06","26.381E-03"
"134","88.600E+00","15.01862E-06","26.519E-03"
"135","90.070E+00","14.89773E-06","26.627E-03"
"136","91.560E+00","14.80230E-06","26.766E-03"
"137","93.070E+00","14.70093E-06","26.893E-03"
"138","94.610E+00","14.59168E-06","27.024E-03"
"139","96.180E+00","14.48794E-06","27.151E-03"
"140","97.770E+00","14.36583E-06","27.295E-03"
"141","99.380E+00","14.24766E-06","27.422E-03"
"142","101.03E+00","14.16253E-06","27.559E-03"
"143","102.70E+00","14.05380E-06","27.698E-03"
"144","104.40E+00","13.95227E-06","27.847E-03"
