Evaluation,x_t,y_c1,y_c2,y_t,z_c1,Cost
686,15.471983mm,19.84992mm,12mm,0.11252698mm,40mm,0.38794
384,14.572022mm,20mm,12mm,0.11067086mm,39.898504mm,0.38883
75,16.098334mm,20mm,11.751852mm,0.10772978mm,40mm,0.38995
943,13.673985mm,20mm,12mm,0.10508588mm,40mm,0.39023
400,15.925527mm,19.785125mm,11.904126mm,0.11474542mm,39.735017mm,0.39079
570,17.203656mm,19.971594mm,12mm,0.10883597mm,39.427323mm,0.3913
383,14.660439mm,19.999986mm,11.876115mm,0.11152502mm,39.407044mm,0.39136
364,15.420931mm,20mm,12mm,0.12522393mm,40mm,0.39187
435,14.885712mm,19.24201mm,12mm,0.10647243mm,40mm,0.39207
580,15.686453mm,19.437661mm,12mm,0.11516626mm,39.783814mm,0.39211
950,14.639745mm,19.627199mm,11.972225mm,0.10505354mm,39.590787mm,0.39236
374,14.335947mm,19.375mm,11.987915mm,0.11124542mm,40mm,0.39245
934,19.201986mm,20mm,12mm,0.1161248mm,40mm,0.39253
912,16.657498mm,19.37598mm,11.998673mm,0.1171955mm,39.997508mm,0.39257
683,14.934839mm,19.84375mm,11.606577mm,0.10405508mm,40mm,0.39338
385,14.996844mm,19.385303mm,11.999101mm,0.10978997mm,39.439132mm,0.39346
386,14.706793mm,19.377133mm,11.875734mm,0.10949707mm,39.616506mm,0.39358
951,16.329681mm,19.382147mm,12mm,0.11092069mm,39.406417mm,0.39367
569,18.467441mm,19.954074mm,11.86181mm,0.099662068mm,39.999847mm,0.39384
152,14.834658mm,19.45196mm,11.8965mm,0.10573003mm,39.496866mm,0.39413
284,15.074734mm,20mm,11.814117mm,0.096221077mm,40mm,0.39422
669,16.460573mm,19.247237mm,12mm,0.09947848mm,40mm,0.39434
382,14.827498mm,19.420082mm,11.917958mm,0.10814675mm,39.381166mm,0.39437
949,15.742274mm,19.384678mm,11.875356mm,0.10705563mm,39.384625mm,0.39444
685,14.934839mm,19.84375mm,11.606577mm,0.10405508mm,39.6875mm,0.39459
541,13.661421mm,19.515392mm,11.878717mm,0.11846086mm,39.78734mm,0.3947
145,13.9102mm,20mm,12mm,0.094979368mm,40mm,0.39482
199,13.814053mm,19.446437mm,11.953506mm,0.11528514mm,39.629017mm,0.39497
151,14.518926mm,19.375mm,11.875815mm,0.099868154mm,40mm,0.39516
957,18.575115mm,19.535158mm,12mm,0.10623136mm,39.543202mm,0.39534
454,16.420602mm,19.464198mm,11.877666mm,0.11071552mm,39.144117mm,0.39593
941,17.825316mm,19.331897mm,12mm,0.10584478mm,39.389299mm,0.39656
935,17.955423mm,19.438482mm,11.891458mm,0.10649995mm,39.542501mm,0.39664
142,13.813759mm,19.396267mm,11.939548mm,0.11874472mm,39.52491mm,0.39674
66,17.379391mm,18.752345mm,11.999782mm,0.10686521mm,39.999454mm,0.39687
387,14.572022mm,19.278312mm,11.855662mm,0.11067086mm,39.176816mm,0.39737
670,16.460573mm,19.247237mm,11.911612mm,0.09947848mm,39.558058mm,0.39758
143,15.622956mm,19.39299mm,11.895596mm,0.097454551mm,39.560139mm,0.3976
675,13.777148mm,19.801002mm,11.986557mm,0.099541639mm,38.841386mm,0.39775
136,13.467692mm,18.567363mm,12mm,0.10915891mm,40mm,0.39779
448,17.723386mm,19.377524mm,11.880094mm,0.12176337mm,39.925098mm,0.39785
437,14.885712mm,19.24201mm,11.823223mm,0.10647243mm,39.116117mm,0.39818
